epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,467.293,1.842,2.73746,1.45123,0.63341,0.5515,0.56529,0.25544,1.91242,1.66939,1.49229,0.00999675,0.00333225,0.00999675,0.00333225,0.00999675,0.00333225,0.00999675,0.00333225
2,813.494,1.91083,1.77397,1.46323,0.57252,0.43482,0.46873,0.20594,1.98433,1.90621,1.56868,0.0197988,0.00659959,0.0197988,0.00659959,0.0197988,0.00659959,0.0197988,0.00659959
3,1116.81,1.98517,1.83929,1.54168,0.52546,0.47356,0.48603,0.22572,1.98746,1.85961,1.64131,0.0294028,0.00980094,0.0294028,0.00980094,0.0294028,0.00980094,0.0294028,0.00980094
4,1404.68,1.94707,1.77642,1.5634,0.6129,0.53464,0.55603,0.25097,1.93223,1.7043,1.69636,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1690.79,1.86242,1.54817,1.50033,0.63571,0.61244,0.59456,0.27833,1.94325,1.49175,1.65154,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1975.72,1.81536,1.46371,1.44642,0.6423,0.57293,0.6046,0.28653,1.85363,1.56542,1.57566,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2260.56,1.76585,1.3657,1.42534,0.64384,0.59572,0.61145,0.29001,1.86535,1.49877,1.58414,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2545.01,1.74106,1.30811,1.41089,0.66981,0.61394,0.62824,0.3042,1.81683,1.45044,1.54986,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2830.5,1.72333,1.26355,1.40084,0.64006,0.57951,0.58657,0.29026,1.81732,1.50544,1.55338,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3115.11,1.70016,1.20473,1.3813,0.65648,0.5825,0.59244,0.28615,1.82536,1.46282,1.5694,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3398.96,1.68143,1.16691,1.37495,0.6717,0.57338,0.60368,0.29788,1.81386,1.48747,1.53758,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3683.66,1.66621,1.13559,1.36039,0.71304,0.57475,0.61536,0.29798,1.83897,1.41771,1.5596,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
