file,outcome,detail
1.3.6.1.4.1.14519.5.2.1.6655.2359.182199939106213293274854728972.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.371677717689759009088537555228.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.332519387468079600845544649942.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.240534918829371382485446588901.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.398373706104418345557278628236.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.196644465024473250448060642400.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.333715001213686960176921637743.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.255734007117342860405126556427.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.270466914719412112412442386905.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.325500335749617431281749834890.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.245447340409139045597634155010.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.515962765818891477555649733587.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.470776151151413971149532201311.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.699445906984228211686451685327.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.315725759500548878192018145060.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.291764831559443045430270573642.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.220884976564754217692220262853.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.290471648091085136612798503865.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.133328113596606715265836038841.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.332057824678350245893933222209.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.224404612396531952399396445022.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.341102472414444191892846734505.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.241885732081791074782097362993.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.303954290960776686787911468739.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.217142428034176227547914770493.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.243381157284777400916188818783.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.235313940512984758226203467077.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.274899190463367110004897889594.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.154768927145399745411855162432.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.259703450577912833182664231632.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.290159726090886176696430071263.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.222015092304941121823290433426.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.263649285128404345230285566961.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.139823210004146307447137160297.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.118749382104201772783824410869.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.248020234707696158593440852404.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.302430343879983016220825575983.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.365187870079354716383946716173.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.176721549404270066704395694915.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.270438035327454078854242680773.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.938955993951760846117158423686.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.316321291394415314622971823653.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.149000811839742168515230543438.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.819012985699737280087248675211.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.326105343595784053100546236789.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.939953618034581221849806128983.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.114611109951828992473029570408.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.333239762495048996902758408693.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.184683802275518542540210275595.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.310252605029095373561431629982.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.437300515572025485310869231896.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.404264265778362687776510821980.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.116943001869320707132417644787.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.650260552039407345576970421412.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.586934247931309877476131729351.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.890070972161998372434322427924.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.334541578543215475159372555420.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.302035177996903800780238571228.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.301792339048096256478000211731.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.431343819801054318004160640168.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.207786949574327759679112276941.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.314945024832701977673093034587.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.190973776134795953327166805635.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.103406679988305245467550007840.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.315075139658414540606364636843.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.385133169828524198162093802332.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.485409522370653642178202571697.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.146175905823850147091782780342.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.210431586485551853438582544700.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.274670215384706979670659647469.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.408021080655480576509766253968.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.231767034128170620194649028743.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.279776889049537159442936132699.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.430511971018219311938892385029.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.218263797447705554664667306788.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.410967177990090902811313287637.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.190302544021384060329643968712.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.131934438724918048424045909799.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.268204702997873489256539403064.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.312901024323940354068870858193.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.246872766153814918463836089833.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.228877800974541257291303638498.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.320764989608264166845757519743.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.188670910178747499437875488905.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.180455323627996360195244126383.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.100609528455598485546693147599.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.164105159527782195750119836138.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.105091477433073925226324110231.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.123245202120176267198887852792.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.162230089432954839471989128831.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.576708565970048506268103156582.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.332627971540022768335840409093.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.280205973195219209048617910399.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.293117952956946429545820047241.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.115405792561213033165765101642.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.265636325566354396570325032979.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.164610727600072873426728099611.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.154486838921285097196990310291.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.169265018449191090380055185137.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.954648914997936554118355811923.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.161013040215532840148006018775.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.270282208272500032901665430092.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.111042820845832869594858357402.xml,sc,"1 box(es), depth=3"
1.3.6.1.4.1.14519.5.2.1.6655.2359.274537539650706833509315055484.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.113874989916993402101882975507.xml,ct,
1.3.6.1.4.1.14519.5.2.1.6655.2359.275535563962876734015288056988.xml,sc,"1 box(es), depth=3"
