epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,478.492,2.99211,6.2901,2.68227,0.43805,0.36418,0.33502,0.134,2.17278,2.43436,2.09478,0.00999675,0.00333225,0.00999675,0.00333225,0.00999675,0.00333225,0.00999675,0.00333225
2,830.411,2.13248,2.1645,1.8732,0.47323,0.45807,0.3908,0.15179,2.07356,2.04038,1.99104,0.0197988,0.00659959,0.0197988,0.00659959,0.0197988,0.00659959,0.0197988,0.00659959
3,1135.44,2.06277,1.98762,1.79883,0.57544,0.46445,0.48677,0.19735,2.0864,1.94277,1.99247,0.0294028,0.00980094,0.0294028,0.00980094,0.0294028,0.00980094,0.0294028,0.00980094
4,1425.6,2.00107,1.83206,1.76382,0.59186,0.48633,0.50548,0.22567,1.96019,1.77135,1.87534,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1714.71,1.9234,1.64855,1.69281,0.62282,0.52833,0.54409,0.25294,1.89758,1.6262,1.82305,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2002.7,1.88051,1.54824,1.66048,0.61047,0.54717,0.573,0.26318,1.90383,1.64737,1.8176,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2290.05,1.83696,1.43126,1.62158,0.65167,0.57293,0.58044,0.26758,1.89507,1.57288,1.81005,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2579,1.79541,1.38041,1.59589,0.64641,0.58743,0.58908,0.27111,1.88244,1.53155,1.79829,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2870.13,1.78474,1.35662,1.58671,0.6343,0.57794,0.60027,0.28822,1.88243,1.54343,1.78977,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3157.87,1.77422,1.28115,1.57336,0.66949,0.57338,0.58195,0.27787,1.85193,1.51522,1.77877,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3444.89,1.74488,1.23958,1.56111,0.6785,0.59708,0.60889,0.2894,1.86834,1.49166,1.79334,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3732.03,1.74056,1.20771,1.5559,0.68333,0.57142,0.59895,0.28834,1.85942,1.50168,1.77651,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4019.39,1.72253,1.18688,1.54828,0.65076,0.59791,0.61375,0.28932,1.87054,1.48873,1.78766,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4306.46,1.72044,1.15623,1.54148,0.68066,0.58873,0.60204,0.28384,1.86011,1.4743,1.77844,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4593.21,1.68835,1.1486,1.52762,0.67525,0.60085,0.60856,0.28855,1.86469,1.47646,1.78112,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4880.66,1.68052,1.10797,1.50546,0.68251,0.58751,0.61003,0.28596,1.88618,1.4865,1.80067,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5167.2,1.63713,1.04779,1.49612,0.65611,0.59526,0.60288,0.28272,1.88124,1.49155,1.80027,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5455.15,1.64961,1.06184,1.49187,0.69132,0.57878,0.60862,0.28562,1.88757,1.46282,1.8074,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5742.35,1.64305,1.03783,1.48046,0.69702,0.58195,0.61323,0.28658,1.89081,1.45922,1.8095,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6030.5,1.64593,1.04109,1.49519,0.68178,0.59435,0.61221,0.287,1.88633,1.45696,1.80605,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6320.86,1.64109,1.02687,1.49112,0.68988,0.59617,0.61425,0.28612,1.88291,1.45599,1.80189,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6609.6,1.62349,1.01464,1.47201,0.69426,0.59304,0.61033,0.28557,1.88031,1.46601,1.79996,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6902.2,1.61463,0.99079,1.4732,0.69838,0.58781,0.60579,0.28288,1.88511,1.53072,1.80378,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7194.92,1.5986,0.97952,1.45222,0.70295,0.58244,0.58439,0.27371,1.8844,1.90029,1.80415,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7487.89,1.60568,0.96666,1.46324,0.70663,0.58159,0.55292,0.25974,1.88588,3.94458,1.80523,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7781.62,1.58221,0.94856,1.45127,0.27699,0.366,0.16723,0.08224,1.887,25.5333,1.8058,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8074.82,1.57995,0.93489,1.44386,0.00452,0.54284,0.00382,0.00167,1.88784,137.234,1.8065,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8368.17,1.58757,0.94514,1.45253,0.00363,0.68778,0.00315,0.00136,1.88905,275.019,1.80712,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
